,VideoID,Date/Time,Title,Description,Tags,Duration,Definition,Caption,Views,Likes,Comments
10,-VwJBmZAZ40,2024-05-08T13:00:00Z,The Porn Industry Is Capitalizing on Men! #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips', 'dating tips for men', 'dating coach', 'dating coach for men', 'dating advice', 'relationship advice', 'dating advice for men', 'relationships', 'date tips', 'love advice', 'porn industry', 'truth about the porn industry', 'porn industry exposed', 'porn addiction', 'porn', 'relationship tips', 'relationship tips for men', 'relationship coach for men', 'Apollonia Ponti']",PT57S,hd,false,1413,91,12
11,rj66cczfjqw,2024-05-06T13:00:50Z,A Woman Who is Emotionally Unavailable #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'youtube shorts', 'shorts video', 'dating', 'dating tips for men', 'dating tips', 'dating advice for men', 'dating coach for men', 'dating advice', 'dating coach', 'love advice', 'online dating', 'relationship advice', 'dating advice for women', 'relationships', 'relationship coach', 'Apollonia Ponti', 'relationship tips', 'relationship tips for men', 'relationship coach for men', 'relationship advice for men', 'relationship', 'emotionally unavailable relationship', 'emotionally unavailable women']",PT1M,hd,false,6627,304,3
12,Eoya7KgxIOI,2024-05-05T13:00:15Z,The #1 Thing That Ruins All Relationships #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips for men', 'dating advice', 'relationship advice', 'dating advice for men', 'dating coach', 'dating tips', 'dating coach for men', 'relationships', 'date tips', 'love advice', 'relationship tips', 'relationship tips for men', 'relationship', 'relationship advice for men', 'relationship problems', 'problems in relationships', 'relationship goals', 'Apollonia ponti']",PT53S,hd,false,4346,205,6
13,gNpG9DlMf3k,2024-05-04T13:00:39Z,How To Effectively Communicate In A Relationship #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

Watch the Full Video Here: https://youtu.be/NJU3rWSAWAQ

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips', 'dating tips for men', 'dating advice', 'relationship advice', 'dating advice for men', 'first date tips', 'dating coach', 'how to get a girlfriend', 'dating coach for men', 'relationships', 'dating mistakes', 'love advice', 'communication', 'how to communicate in a relationship', 'how to fix communication in a relationship', 'how to improve communication in a relationship', 'communication in relationships', 'communication skills', 'Apollonia Ponti']",PT27S,hd,false,5031,179,7
14,4KdFEZkjOEc,2024-05-01T16:25:18Z,EXACTLY Why Being In Tune With Your Emotions Helps Build Better Relationships #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips for men', 'dating coach for men', 'emotions', 'emotional intelligence', 'mental health', 'dating coach', 'dating advice', 'dating advice for men', 'dating tips', 'relationship advice', 'dating expert', 'female dating coach', 'life coach', 'relationship expert', 'relationship tips', 'advice for men', 'tips for dating', 'relationship coach for men', 'relationships', 'Apollonia Ponti']",PT31S,hd,false,3573,131,8
15,zFIiuPuBy-A,2024-05-01T05:58:16Z,"Are You The ""Standby"" Guy! (Don't be her backup choice) 6 Ways To Know!",Book a 45 Minute Consultation Call: https://calendly.com/apolloniaponti/45-minute-consultation?_ga=2.71350295.547109882.1714487455-1996950941.1706633755&month=2024-04,"[""don't be her backup choice"", 'dating tips for men', 'dating coach for men', 'dating advice for men', 'dating', 'dating advice', 'relationship advice', 'first date tips', 'first date', 'dating coach', 'dating tips', 'how to get a girlfriend', 'relationships', 'date tips', 'love advice', 'dating tips for women', 'dating expert', 'relationship expert', 'online dating tips', 'best dating advice', 'relationship coach', 'relationship advice for men', 'relationship tips', 'relationship tips for men', 'Apollonia Ponti']",PT32M56S,hd,false,7147,259,40
16,-Gw-ilWgM9k,2024-04-29T13:00:00Z,Tips To Increase Communication and Reduce Argument #short,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

Watch the Full Video Here: https://youtu.be/NJU3rWSAWAQ

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips for men', 'dating advice for men', 'first date tips for men', 'dating coach', 'relationship advice', 'dating tips', 'relationships', 'date tips', 'love advice', 'first date tips for guys', 'advice for men', 'dating expert', 'relationship coach', 'online dating', 'dating for men', 'relationship tips', 'relationship', 'relationship tips for men', 'healthy relationship tips', 'relationship problems', 'Apollonia Ponti']",PT55S,hd,false,3895,149,3
17,VWqLPTi2KY0,2024-04-28T13:00:33Z,Lost Trust In Your Relationship Watch This!  #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

Watch the Full Video Here: https://youtu.be/NJU3rWSAWAQ

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts youtube', 'shorts video', 'dating', 'dating tips', 'dating coach', 'dating coach for men', 'dating tips for men', 'dating advice for men', 'online dating', 'dating expert', 'relationship advice', 'relationship expert', 'relationships', 'best dating advice', 'what men want', 'love advice', 'relationship tips', 'female dating coach', 'Apollonia Ponti']",PT19S,hd,false,6791,287,12
18,TXJJAxa7gfc,2024-04-27T13:00:24Z,The Truth On How To Make A Woman Miss You #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

Watch the Full Video Here: https://youtu.be/NJU3rWSAWAQ

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips for men', 'dating coach', 'dating coach for men', 'dating advice', 'dating advice for men', 'Apollonia Ponti', 'how to make her miss you', 'make her miss you', 'how to make her miss you long distance', 'how to make a girl miss you', 'how to get a girlfriend', 'miss you', 'how to make a girl want you', 'ways to make her miss you', 'what women want', 'make her chase you', 'relationships', 'get her to miss you', 'relationship advice', 'dating tips']",PT1M,hd,false,8119,378,7
19,su5iFDS5DPc,2024-04-24T13:01:00Z,Want To Start Attracting Better Women? Watch THIS #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips for men', 'dating tips', 'dating coach', 'dating coach for men', 'dating advice for men', 'dating expert', 'relationship advice', 'relationship expert', 'best dating advice', 'relationships', 'relationship coach', 'relationship advice for men', 'advice for men', 'relationship tips', 'Apollonia Ponti']",PT56S,hd,false,9437,342,8
20,Hsazpez9FOY,2024-04-23T15:11:27Z,You Must Do This If You Want To EMOTIONALLY DETACH From A Woman! (...And Gain RESPECT),"(BOOK A FREE DATING EVALUATION CALL) 3 MONTH ATTRACTION COACHING w/Apollonia:   https://www.apolloniaponti.co/aoa-presentation

Are you tired of getting emotionally attached too early in your relationships? Learn how to emotionally detach from a woman and gain respect with these powerful tips from a dating expert! Subscribe to the channel for more valuable advice on building successful relationships.

Subscribe Here: https://www.youtube.com/c/ApolloniaPonti?sub_confirmation=1 

GET IN TOUCH WITH APOLLONIA (website): www.apolloniaponti.com 

Watch Next Videos: 

Stop Mistaking A Woman's Unavailability For High-Quality 
https://youtu.be/2ejmRUWy1ZY

Make Her Think Of You 24/7 With These Non-Creepy Phrases!
https://youtu.be/Lz4_XZJXSls

Psychological Secrets To Get A Woman To Value You MORE!
https://youtu.be/zyfM0HiIsaA
________

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

Say ""hi"" on social: 
Instagram: https://www.instagram.com/apollonia_ponti/
Facebook: https://www.facebook.com/apollonialovecoach

Listen to the Elevated Man Podcast: 
https://podfollow.com/the-elevated-man

[CONTACT ME] **PLEASE SEE NOTE BELOW 

Apollonia Ponti is the top leading female dating coaching with over 8 years of experience working with men directly. She is the #1 leading dating and relationship coach for men that with hundreds of proven testimonials. She has worked with over 5,000 men. Apollonia Ponti is going to help you attract women, talk to women, date women, seduce women, get the woman you want, become more confident, help you pick the right woman, how to flirt, and most importantly, attract high-quality women to have a healthy relationship with the woman you've always wanted. 

Media, coaching questions, video testimonials, and interviews: team@apolloniaponti.com

© Apollonia Ponti. All rights reserved.","['emotionally detach', 'dating advice for men', 'dating advice', 'relationship advice for women', 'emotional detachment', 'apollonia ponti', 'how to get a woman to respect you', 'Power of walking away', 'walk away', 'dating', 'walking away from a woman', 'dating tips for men', 'high value man', 'how to walk away', 'attraction', 'emotionally detach from a woman', 'how to detach', 'psychology', 'relationships', 'dr. andrew huberman', 'how to emotionally detach from someone you love']",PT9M53S,hd,false,13418,532,67
21,-SLSwUP44mE,2024-04-22T13:00:00Z,Why Obsessing Over A Woman Will Make You Look Unattractive #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

Watch the Full Video Here: https://youtu.be/NJU3rWSAWAQ

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips for men', 'dating advice', 'dating advice for men', 'dating coach for men', 'dating coach', 'Apollonia Ponti', 'unattractive qualities', 'love advice', 'dating tips', 'relationship advice', 'what men want', 'dating advice for men in their 30s', 'relationships', 'best dating advice', 'relationship coach', 'relationship expert', 'relationship advice for men', 'masculine men', 'attraction']",PT49S,hd,false,7356,333,16
22,toMce_qW0DU,2024-04-21T13:00:50Z,How To Take Back Control After Giving Her Space #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips for men', 'dating tips', 'dating coach', 'dating coach for men', 'dating advice', 'dating advice for men', 'love advice', 'relationship advice', 'relationships', 'best dating advice', 'relationship coach', 'relationship expert', 'relationship advice for men', 'advice for men', 'relationship tips', 'Apollonia Ponti', 'she needs space', 'give girlfriend space', 'i need space']",PT44S,hd,false,6836,241,5
23,cE6XANdl1ig,2024-04-20T13:00:28Z,Why You Need Compassion When Dealing With THIS #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

Watch the Full Video Here: https://youtu.be/DxovdvV0RuY?si=sOlzPWQEEyWpPssT

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips for men', 'dating tips', 'dating coach', 'dating coach for men', 'dating advice for men', 'online dating', 'dating expert', 'relationship advice', 'relationship expert', 'best dating advice', 'love advice', 'understand women', 'relationship coach', 'how to date better', 'female dating coach', ""dos and don'ts"", 'relationship tips', 'Apollonia Ponti', 'heartbreak', 'breakups', 'relationships', 'breakup', 'how to get over a breakup', 'breakup advice']",PT59S,hd,false,5638,143,13
24,onbF-guv6wo,2024-04-17T14:09:25Z,You Mistake A Woman's Unavailability For High Quality #shorts,"WATCH THE FULL VIDEO HERE: 
https://youtu.be/2ejmRUWy1ZY?si=n5YGCks-vhELbGcg

Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'relationships', 'dating tips for men', 'relationship', 'relationship advice', 'dating coach', 'dating advice for men', 'dating advice', 'dating coach for men', 'dating tips', 'love advice', 'dating expert', 'relationship expert', 'understand women', 'female dating coach', 'relationship coach', 'dating help', ""how to know if she's high quality"", 'high value woman', 'high quality women', 'attraction', 'high value woman traits', 'Apollonia Ponti']",PT36S,hd,false,2904,137,3
