,video_id,comments
10,-VwJBmZAZ40,"['Tell that to LGBTQ+ comunity', 'And women should not partake in porn anymore because of the negative impacts!!!!!', 'Will power is a alpha trait in a man. Get out of from the comfort zone', ""I've been there. Not surprised it's literally everywhere.The most noticable thing is how people feel that negative vibe within you. I constantly struggled to be a good husband. My wife couldn't resist me.I thought she was going to divorce me. Until recently i quit it for life after so many years, that's another accomplishment as a man."", 'A faster way to destroy your life. A guy with zero self respect choose porn to cope with boredom.', ""Yes Porn is an unhealthy  fantasy. The problem  is Yin ☯️ how to deal with introverted  males  and when logical,  analytical  while porn is never best choice when you  have no women  you regularly talk to  or not dating  even  working on ones  life purpose  the man part how does work  when a man  doesn't  have anyone but himself  while working  on self. Yes porn industry  is not a good  teacher,  but new norms of dating,  attraction  for women some men are a fish outta  water  porn not good substitute  but how does ones deal with the needs myself  I no female  protonic  friend  sometimes  it's like a man against  the  world"", 'I agree.\nThe disassociation is definitely mental, emotional, and spiritual.\nIntimacy is not about physical closeness only and maybe why Tantric provides so much potential', ""Yes ! This is absolutely true Apollonia ! Men have to change their whole mentality that this is not realistic! I'm saying that all men should stop watching this material because it just doesn't make any sense ! Like you have said, we need to better understand what women really want and pay attention to the real world and focus on building better relationships and healthy intimate relationships! Pornography is only a fantasy, it's not reality!  I say to all men stop watching it now !"", 'Lmao mabe women should give guys a chance rather then ignoring or ghosting', ""It ruined my life. After quitting for 2 years I've become a totally different person.""]"
11,rj66cczfjqw,"['Why do I  keep hearing that women want bad boy villains.. never reliable loving men..?', '❤❤ better to live with a hurt heart than a closed heart...']"
12,Eoya7KgxIOI,"[""And if that doesn't work... Walk away, some women just can't be honest"", 'Communication and the proportional leverage hypergamy demands.\n\n\n\nGod help you.', 'Pay attention to your triggers and detach as if you were somebody else', 'Exactly because no two ppl think alike \n Try not assume 😂', 'Communication is one of the main factors when being in a relationship, romantic or otherwise']"
13,gNpG9DlMf3k,"['Too bad its a woman doing this. You shouldnt make men the villian.', 'I Can’t Call It A Relationship it Sounds So Un Caring First You Got To Have That Friend Bond Because it Would Be Very Sad To Brake That Trust. Plus Her In I Can’t Be Related on No Love Ship . People that’s Married are Not Even Friends. I Can Hear A Woman Say To Her  Husband Honey I’m Going Out With My Girl you Know My Best Friend .🤣 that’s Crazy Because Your Husband in Wife Is For Both Together Has is  Best Friend', 'So true thank you Apo 😊', 'Apollonia, you truly have a gift! Keep using it! God bless you and your family!', 'Some ppl are just bull headed \nThis is great advice , meditate for calmness. Nobody likes a hot head 😮', 'why is it always have to be about her? Drizzle drizzle', 'My xWife lol she always spoke against & over me lol']"
14,4KdFEZkjOEc,"['I need to be more open about my feeling & manage stress better.', 'lmfao', 'A woman who is supportive and accepting of constructive criticism', 'I thought of all of that. Then she pulled away lol', ""Guys are constantly told to tune their emotions out, literally and through insinuation, sadly. As an artist, it's inherent for me to be in tune with them regardless, but yes, otherwise, this is the dilemma of being a man. That's why they're used to not being in tune."", 'Thank you for this. I’m working on myself and learning to sit down with my emotions', 'Nah ain’t gonna happen', '🧢🎓 CAP']"
15,zFIiuPuBy-A,"['Book a 45 Minute Consultation Call: https://calendly.com/apolloniaponti/45-minute-consultation?_ga=2.71350295.547109882.1714487455-1996950941.1706633755&month=2024-04', 'some women have moods,she had a bad day and just wants to sit down alone herself.', 'Thanks!', 'Woman want a man they can change, men want a woman to never change', 'Learned a lot  - Thanks', 'This really hits home.  I went on a recent date, a local Mardi Gras parade at a waterfront development with an attractive woman my age.  She was very affectionate, initiating affection, and we walked around arm-and-arm for three hours.  After I picked her up and parked at the local garage, at the end of the day I drove her to a nearby metro.  As far as I could see, we left on very good terms.  I met her at a dance the next day.  When I went to kiss her, she pulled away.  Later that night though, she sent me a flattering text.  At later social events where she was basically, I tried my best to ignore her.', 'I think I a back i', 'Women get away with so much bs.', ""I don't let woman use me as a backup,  any woman that tries to do that to me, I think your a loser. The moment I catch on to that, I'm gone.\nWhat annoys me is, woman look for a man who has discipline, but the woman does not have an ounce of discipline. I ain't giving you a dating chance."", 'Standing by.. 😂😂']"
16,-Gw-ilWgM9k,"['That’s great!', 'MOST WOMEN DONT WORK,THEY GET THIER BILLS PAID,THEIR HUSBANDS EVEN BUY THEM THIER UNDERWEAR,WHAT ON EARTH COULD WOMEN HAVE TO COMPLAIN ABOUT?', 'Thanks.']"
17,VWqLPTi2KY0,"[""The truth is that trust doesn't come from another person or a lie from another person you must understand it comes from you, you must trust yourself that the lie and trust is only in you if you trust someone else you are lieing to yourself that there is no guarantee that you will receive the expectation you take the risk it takes a lot more to accept that a relationship with someone is the relationship you have with yourself."", 'The first sentence so true', 'Once trust is gone, is gone. One might stick around but never the same.', 'All men lie. Don’t take it personally. It’s in the DNA…', 'Actions speak louder than words. Verbal validation means little.', ""This is true. But just because the other person's lies aren't in the open, doesn't mean they don't exist. If you lied and took accountability for them, that's all you can do. If they can't accept, than I guess it's over ✌️"", '100%', 'Girls pretty❤', 'It can take just one gap to fail to floss']"
18,TXJJAxa7gfc,"[""There are rules, such as putting on a trojan magnum before intercoursing with a beautiful young lady. That's a rule. I get it and I'm responsible for my actions. Let's be more accountable for our decisions 👆🏽😎"", 'Law and legislation are two different things \nOne requires consent', 'Excellent Miss Ponti,well said. God bless.', 'Cheers', 'I notice women who show interest at the gym who i dont reciprocate tend to bring their ""bfs"" with them to the gym. Is this a thing women do? Lol', 'Ya, but where is the line drawn when it comes to not being too avaipable?']"
19,su5iFDS5DPc,"[""I don't want someone I am not my best with. I just let someone go. I am not my best with them. I wish them well. Goodbye. Done."", 'She is an opioid addict.  I DO NOT  want her back. My exwife is a meth addict.  Both are vodka drinkers.   Many of there problems can not be fixed.   Stay away run. They will take their drug addiction to there grave.', ""Men haven't changed much.\nWomen have changed, they are more than ever just like men.\nSociety needs to stop blaming men for womens poor choices."", 'Heard', ""I'm afraid this woman is entirely unaware of what most divorce and family court attorneys understand well after years of practice.  Once the bond between a man and a woman is broken, it remains broken.  There may be exceptions to the rule, but they are extremely rare.  There is, in reality, no going back.  When it's over, it's over.""]"
20,Hsazpez9FOY,"['This video don’t make sense I looked at another video of yours and you said “ I don’t agree with dating more than 1 person at a time” - now you say don’t put all your eggs in 1 basket?', 'You were born for this!', 'So I’m commenting based on a different video but I wanted a replay so I came to the most recent 1. I’m in the midst of giving her space and not contacting/calling etc…but her birthday is tomorrow and I don’t know if should say happy birthday or not say anything at all, what should I do ?', 'Just ghost her bro 4:35', 'Over 3 years gave her every benefit of the doubt. The silent treatments, alcohol abuse and shady behavior I finally walked away forever. Never settle for this shit situation again. Peace. Not worth it and never allow disrespect', ""How do I break up with someone? When you realise that there's no future but your allready in deep"", 'No rolls n rolls of fat. No mattef how much money. Has nothing to do with them being modrls, its anout functionality  n reality', 'Its hard to get past the super tankers n people been vaping are blowing up past super tankers who have never been fat. But vsped a bit n then stopped n booom!! Its not okay to try to deal with that resentment  of the bigger ladies', 'Is there a way I can contact this lady directly to get advice?', ""It shouldn't be a surprise... women don't need to know or learn any particular skills or behaviors in order to have men want to date them or to get men to be attracted to them, just be attractive and available... But men have to demonstrate value right from the beginning in many ways - so we as men have to end up having to working on ourselves a lot more than women do just to get dates and be able to attract the other sex.\n\nSo yeah, when people and Society say that women have to learn skills or learn behaviors or how to communicate or how to talk a certain way in order to get men attracted to them, that women also have to learn how to meet men or how to get a danger how to get a boyfriend, it just makes me laugh and cringe and I just find it very stupid, it will never make sense to me as to why women have to learn or know dating skills when they don't have to do anything during the seduction or courtship phase.""]"
21,-SLSwUP44mE,"[""most men are lonely that's why they act like that"", ""All i can say is God bestowed his wrath on me in 2011...i became obsessed with a girl who in short just stranger zoned me. I couldn't get her at all... rejected me twoce 7 years apart. Don't understand how I became infatuated with her."", ""I'll take this over who I used to be."", 'Exactly 💯 putting a woman in the pedestal is very unattractive and leads to friend zone', 'Discipline is the key to a good healthy life \nMental physical emotionally be disciplined', 'I’m starting to believe Greek women don’t like lying. Thank you Apollonia', 'Very true AP', 'I just came out of an 8 year marriage.  I can talk to women but i scare them away because im used to being in ""husband mode"" 😢 i just recently got a number from a girl ive had a crush on for months.  I told her straight up i think shes beautiful and i wanted to get to know her.   But for some reason it seems to of gone south... what bothers me the most is i am 42.  Im old lol..  i dont have dating skills.. and it makes me worry sbout being alone.', 'Best to back off and pay her no mind so she can see she was wrong and it will open your eyes that you can like her and still live without her', 'I’m in this situation at the moment. I really need to chill and focus on me']"
22,toMce_qW0DU,"['Your message is correct on compassion, but it could be completed with ""don\'t be afraid... Just walk away from her zone and keep quiet.""..', 'What do you think about passport bros? They don’t have issues like this', 'If she needs a break, then its over. A «break» is just to fuck someone else.', ""How do you practice compassion if your partner doesn't practice the same.? Like a girl who's always trying to find a reason to pick a fight with you. No matter how much you try to avoid fights, even a good thing you do can be used against you. When do you know its time to let go. Its exhausting, I've experienced it firsthand ,after work my biggest fear is to get home,,my adrenaline is always on overflow out of fear, makes me loose my appetite even when I'm hungry..""]"
23,cE6XANdl1ig,"['If she needs space give it to her permently', ""Ain't no compassion for cheaters"", 'Hasn’t been a single for a long time? She’s *not* single; she’s in a relationship with the guy she’s wanting space from. Or am I missing something?', ""My wife is here right now of 9 years married. She left the house and hasn't been back for a month now. Doesn't want to be in a relationship.. We have 2 young children and alot of assets. What do I do? How do I have compassion for her when she does this to me and our family?! This pain is unreal."", 'No moderately sane person is going to think:  “Am I good enough ? I hate her!”', ""This is the exact thing that's happening with me and my wife of thirty four years. And this is the way I handled it. We've been separated but working on staying together for the last two years. Most couples give up and split up. I am not going to let that happen. Thank you for your post. It helps reassure me."", 'Don’t do it fellas. You end up suffering and waisting money energy and time.  Protect your M.E.A.T.', 'Yeah I don’t think I want to experience the entanglements that will smith had to go through ❌', 'no. never have compassion']"
24,onbF-guv6wo,"['How much of that is True', 'Thankyou', 'They use their knowledge of your vulnerabilities to exploit you.']"
25,vKlKJHWmXvg,"['Does it work if you see each other at work every day?', 'Thank you thank you very much', '*piques', 'No thanks. She can kick rocks', ""I don't like these mindgames. Just be normal people or go away 🙄."", 'Right? Just move on guys. Let her figure it out with her rescue cat from the shelter..', 'Thank you.This was very helpful.I need to hear this', 'If she wants space then just replace. Fuck someone else asap.', ""In the end...move on don't worry. If she really wanted you she wouldn't do this bullshit"", 'For this or anything in dating to work, she has to love you or have some emotional attachment to you...or find you attractive. Box has value without anything attached. Pipe has value only when lots of things are attached i.e. height, muscles, a Benz, a penthouse, millionaire status, etc.']"
26,2ejmRUWy1ZY,"['Shit u making so much sense\n Tx you really good at your profession', 'Some people will use that tactic as a way out of the situation so they dont have to have the conversation.', 'Apollonia, please visit the UK and do an intensive media tour.  British TV talk shows, talk radio shows, podcasts etc.  British Men need your wisdom.  Peace and love.  Jim.', ""This video was meant for me. Everything's said speaks to me. After a few months of dating now my ex girlfriend. she stopped putting effort and took days to reply. Finally, I decided to stop reaching out first, and for 2 weeks, she did not reach out. Recently, I found out that She unfollow me and blocked me everywhere. I had a feeling that she was not emotionally available."", '👋👋👋', 'Yes', 'Pleases', 'Walk back on rampage, mom almost had a near death experience. She will be in my care millions upon millions gone life’s up’s and down. i treasure the one who love’s me is worth million times more who could careless if I had millions. Still be the corny guy they call “booger”. Shall  return of the Jedi in time', 'Apollonia is there a way to counter a women being fearful? Ive had a crush on s female for 5 months and only recently asked for her number. When i got the number i hugged her and rubbed her arm which she was receptive to.  However she has a bf and gave her number despite knowing im interested.  Anyways i get the feeling she is slighltly afraid of me as the lsst couple times i see her at the gym she stays on the tredmill and doesnt stay long. I saw her yesterday and i didnt approach because i feel as if shes uncomfortable, yet she looks at me directly when passing by in distance.  Anyways is there anything i can do to atleast calm her nerves with me?', ""It shouldn't be a surprise... women don't need to know or learn any particular skills or behaviors in order to have men want to date them or to get men to be attracted to them, just be attractive and available... But men have to demonstrate value right from the beginning in many ways - so we as men have to end up having to working on ourselves a lot more than women do just to get dates and be able to attract the other sex.\n\nSo yeah, when people and Society say that women have to learn skills or learn behaviors or how to communicate or how to talk a certain way in order to get men attracted to them, it just makes me laugh and cringe and I just find it very stupid""]"
27,0iPjLfV4XMY,"['You too busy playing head games that you miss love.', 'Ma’am how do you know what men should do? It’s always about what the women want. And men need to make sure women are satisfied. No such creature exist that can please a woman. Guys stay single and let these hyenas continue to live in delusional fantasy land.😊', 'Who cares what they want.  😏', 'What about the sigma male ?', 'Narcissistic women don’t want an alpha male, because he is too strong and won’t let her just do whatever she wants to.', ""Apollonia  informative  short YouTube  question how does that work when a man is respectfully blunt you are cool and calm but you don't have the PG rated words you don't disrespect but you don't sunshine and Rainbows in how you talk when you when you are mad?"", 'I thought this was just being a man .. ? Wouldn’t react any other way myself', 'They want,but give nothing 😂']"
28,zyG5bdyLBPI,"['Passport bros DONT have to worry about this and end up with 7-10’s', 'Control is insecurity masked as masculinity... 😮', ""Is funny I keep trying and keep realizing I'm way better off alone."", ""AS FAR AS MARRIAGE GOES THERE HAS TO BE ORDER.THAT DOESN'T MEAN BULLYING ,THAT MEANS THE MAN SETS THE RULES. THE MAN IS THE HEAD,LIKE THE BIBLE STATES.ITS FEMINISTS WHO HAVE A PROBLEM WITH THIS."", 'Because in the end women don’t know what they want and it’s just a waste of time to entertain that.']"
29,qKOAfw8CRa8,"['Controlling is not a secure action. Only the insecure Needs full control (lacking the ability to trust/accept)', 'We don’t want partnership. Because we don’t need anything from you either than being a woman or feminine.', 'If you corporate . He wouldn’t be there for long', 'You may be assuming both parties are equally competent and partnership should therefore be equal. This is unhealthy feminism in disguise. Partners also know how and when to yield. I used to play piano duets with a girlfriend. She was a music teacher and I was a hack. Her response when I complained about her emerging leadership in this situation was ""we are not in the same place."" She was right. So, get over your ""control"" phobia. Let merit prevail.', 'If you want to control then you can do it by yourself. No healthy and mature person is tolerating that. Period!!! Goes for both men and women!!', ""Where can you find a  date ? \nOnline dating doesn't work ! I spent $600.00 dollars on Online dating services change profile and change photos and No replys ! Women don't hang at restaurants and don't hang out cafes and no night clubs"", ""She does help me because I had a tragedy in my life losing my mom and dad on the same day murder suicide very very tragic sad but I'm strong because I'm a music man. It brings me joy. This woman is good to me. She got divorced. I got divorced. My daughter gets cancer cancer doctor gets to choose, my lovely ex Bride"", ""I went to Vietnam. I met beautiful sweet sweet now we're having a little baby heartbeat. Am I bad? I got a learn Vietnamese. But she slapped me once too many and I left but now she's got baby so I came back. We have to make it work."", 'Let’s talk about physical boundaries.. in relationship.\nLike a woman having a man as a friend']"
30,AcMB4ZvloDk,"['Would perhaps be more convincing if she could spell "" being"".', '#TRUTH.  Get away & stay away from the ""Mr. Nice Guy"" stigma!', 'Dating a modern Westernized female is not it. Don’t waste any time of them, Gents. There is far better waiting elsewhere.', ""WOMEN DON'T GO FOR MEN WHO ACT THE WAY YOU DESCRIBE ,WOMEN GO FOR DIRTBAGS"", 'Gfgd girlfriend gratitude degree']"
31,r9yVCU2R2io,"['Women are attracted to all kinds of guys. I know women who have dated guys with no car, no home, and no job. How can a woman feel secure dating a guy like that?', 'So basically men have to act like machines.', ""It's a joke because men are supposed to be all these things basically we have to be perfect guess what no one is perfect"", 'Say what you mean and mean what you say... 🎉', 'Remaing calm has a limit   just stay minute with my stepmother', 'Insecurity brings her no security, which women look for in a man.\n\nBy the way, those heart shaped earrings are THE BOMB! 💣', 'SECURITY IS ANOTHER WORD FOR MONEY,AND YOU ARE CORRECT THATS ALL WOMEN CARE ABOUT.IF WOMEN WANT MONEY THEY SHOULD GET A JOB,AS FAR AS WOMEN DEALING WITH STRESS,THEY COULD GO SEE A THERAPIST.']"
32,IY3QndFPodc,"[""Tell them they creep you out and you're going to call the police on them."", 'Why should one have to go through all this to attract a woman?', 'i dont think its creepy to try and attract a woman the reasons these women get attracted is the creepy part ironically', 'Do not!!!! I repeat!!!! Do not!!!!!!  Get in an entanglement with a woman!!!! You will regret it 😳', ""Did anyone ever stop to think that there's a reason there are countless instructional videos on how to speak to a female? Women make it  impossible. You can't even compliment them. You have to say just the right thing and just the right time in just the right manner. This is what I prefer playstation."", 'Too many rules!', 'Rule #1: be extremely good looking… \nRule #2: See rule #1', 'Avoid used/19+', 'Don’t talk with or engage women. It’s always what men need to do. Stay away from dating and marriage. Problem solved. Next?😊', 'Get to the point ..geez!!!!']"
33,Lz4_XZJXSls,"[""Be cautious when complementing a woman. Make sure she is giving signs that she is attracted to you first. Most all complements come across as a pick up line or just plan cheesy anyway. Complements are always expected by women at some point. It's a part of the validation she is seeking from men.  If your tall, handsome, with the appearance of wealth and status. It won't matter what you say to her."", 'How she reacts to a compliment about her looks depends on how you look. If you’re attractive, she’ll be flattered and turned on. If you’re ugly or meh, she’ll think “Get lost dude.”', 'The dating/attraction part is Super Easy for me. It’s being touchy/feely affectionate romantic with my wife', ""Just found your channel and other coaches said you can begin with s compliment but i guess you would attract the wrong type of girls like those who like short term relationship..\n\nI also find that asian girls don't respond well with it as well.. should aim to build a conversation first..."", 'Ughh damn it 😂😂 this shit is so complicated.', 'There is something in the Law called relevance. I OBVIOUSLY wasn’t Arrested nor am I currently on Probation for anything that I said about Damian Aiello.', 'That’s actually an assumption. I don’t really know anything about him saying that I was mentally Ill. Who do say it to? When did he say it?  🤣', '“But Damian said that he was mentally Ill.” And again my jail time proved that can’t possibly be true!😂\n\n🖕🏻😃🖕🏻', '“He’s always got a Chip on his Shoulder.” And if anything  that muhfuckin☝🏼 CHIP is what has enabled me to survive as long as I have! 🥊', '“Phew! Thank God we can just stick to the slander and say that he was never in Jail.” That’s the Far Left for you Ladies and Gentlemen.']"
34,VLk2Gc-cnXY,"['Yes', 'Yes want so more videos', 'I wish so bed I wanted u so bad', 'Greetings from Pakistan Appolonia Ur channel is very informative', ""to flirt is easy, just be yourself, and be fun. even men don't like boring friends."", 'YOU MENTIONED WHAT MEN WANT,HERE IT IS  1. A WOMEN WHO IS SATISFIED 2.A WOMEN WHO IS WILLING TO HAVE A JOB AND HELP WITH BILLS 3.A WOMAN WHO IS FEMININE ...........HERE IS WHAT WOMEN OFFER 1.NEVER BEING SATISFIED 2.ENTITLEMENT,LAZINESS 3.AN  ARROGANT AND MANLY ATTITUDE.........APOLLONIA I HOPE YOURE A MIRACLE WORKER.................AS FOR YOU GUYS,LIKE YODA SAID,MAY THE FORCE BE WITH YOU,GOOD FREAKIN LUCK', 'Been decades without a date, been trying so hard last two years to keep approaching women and just keep getting rejected including cruelly or aggressively each approach. And yes I do all the things I’ve learnt here. Will sign up as I don’t want to be the only human to die without one person loving me. 😢', 'Thanks,  I appreciate it', 'What she mentions at 4:15 about understanding the difference between logical attraction versus emotional attraction is critically important. Logical is using your intellect, and wow can that divert problems down the road. In other terms, step back, use logic and not so much of a heartful of emotions at first. 😉👍', 'I\'m usually shut out because I don\'t have the "" hot chemistry"" ""spark"" etc. Yet I\'m told that I would be a great husband. \nThose same woman will then go out and date  ""toxic"" Chad because the ""chemistry"" was right. \nWay too many women fall into the chasing ""sparks""']"
35,7no8k0ptRmM,"['Yup.', 'oooohhh god all the time it is the same with womens and when you keep your composer they say you abusing them with your emotional control...and what she it doing in a bar or a place that it was a futbol game or football game that it is the wrong places ...jajajajajajaja', 'In most Asian countries, the moment you raise your voice . the conversation is over.', ""Some Women don't want guys with any negative emotions such as anger, disappointment, because these women come from parents that fight a lot, especially fathers that are unhinged."", '...duh.', 'TRUTH 🙏', 'Female commentary on male emotional health is over.', '💯']"
36,h5X6Hw7ld-c,"['From acorns, grow oak trees', ""I'm cool with stepping out of comfort, but I don't know what those steps are???"", ""Apollonia  informative  video  short give me a good while to come to terms that I a introvert and a loner, but i have realized  i do need accept I'm  a man i do want experience  love i need maybe  not self reject  myself"", ""Einstein quote doesn't necessarily apply here.  That would be assuming all women are exactly the same.  Unless it is a game to get as many numbers as possible, you only need one positive reaction to the approach and one connection.  But I see her point if you do nothing or are creepy ot inappropriate.""]"
37,DgxRGid9QFU,"['Another bus comes every 15 minutes ❤🎉', ""Apollonia  informative  my problem is I overthink and self reject myself I see a woman that's attractive but I don't as well cuz I respect the lady"", 'HERE WE GO AGAIN,ITS ALL MENS FAULT,MEN ARE NOT THE ONES WHO ARE NEVER SATISFIED,ENTITLED,TALK TOO MUCH,LAZY.....WOMEN ARE', 'Doesn’t seem to prevent getting a relationship just prevent a bad one at best so it seems fine']"
38,cr6xlFz1ddA,"['@Apollonia Ponti Hello from Norway...And thank you', 'I also enjoy your advice here and yeah, this is important to screen for quality girls!', 'Those is basic questions', 'What makes you come alive?', 'Full back ground checks after first few dates, you dont ask them anything  ,  "" what ever it takes"" i love women but nope they eill not tdll yiu the truth no where close, just enjoy the date n events  n dont snswer her questions either n full nlood work up n dtd tests before you do the backgrounds  oone eithrr of iu n have yours ready for her', 'Nice ❤', 'I\'ve heard it said ""we make decisions with our emotions, than try to use logic and reasoning to justify the choice...""', 'Hi Apollonia thanks for you video. I like more shorter one rather then too long...', 'Should u ask these through text or in person??', 'Beautiful video!💕🙏🌹']"
39,8DRnHalns1o,"['Proverbs 11:23\nThe desire of the righteous is only good: but the expectation of the wicked is wrath.', ""Apollonia I have no sense of awareness of what to say to women that makes attraction to us men, I can hear the reasons people say of why it attracts women including from you, but it just never makes sense to me of how certain phrases does it compared to others for a lot of reasons like us men can't even be free to talk normal. I can say things I've learned to say, but it's gonna be very nonsensical. I'm a very creative person, I create my jokes all the time, create great business ideas, etc, but how can I or any man be creative without knowing what to be creative about with women? If you have a video on that then please send it to me and if you don't then please make a video on that cause it's extremely necessary and will cease so much problems."", 'If two are not mutual, trouble follows', 'GOOD INFO,BUT TRY NOT TO CURSE,IT MAKES YOU COME OFF MANLY', 'For better or worse until death us do part. ummmm']"
