,VideoID,Date/Time,Title,Description,Tags,Duration,Definition,Caption,Views,Likes,Comments
10,10CsOVtc0EE,2024-05-03T16:03:14Z,Answering Your Questions LIVE,"Stopping by to say hi, answer a few questions and let you know about something exciting coming up.

My ""Find Your Person"" event is happening this Saturday, May 4th at 10am PT / 1pm ET / 6pm UK. This exclusive virtual event is only open to those who have picked up their copy of Love Life, so if you haven't gotten yours yet, don't wait! 

Get your copy now at https://LoveLifeBook.com and on the same page you can register your purchase using your order number and redeem your free ticket to the event, as well as be entered into the Love Life Giveaway! You could win a 1:1 with me, tickets to my retreat, your own Love Life sweater and much more. I can't wait to see you there.

For any assistance please connect with my team at support@matthewhussey.com",[],PT37M19S,hd,false,10705,183,41
11,RpXzWZIZA-s,2024-05-02T17:55:07Z,Answering Your Questions LIVE,"Stopping by to say hi, answer a few questions and let you know about something exciting coming up.

My ""Find Your Person"" event is happening this Saturday, May 4th at 10am PT / 1pm ET / 6pm UK. This exclusive virtual event is only open to those who have picked up their copy of Love Life, so if you haven't gotten yours yet, don't wait! 

Get your copy now at https://LoveLifeBook.com and on the same page you can register your purchase using your order number and redeem your free ticket to the event, as well as be entered into the Love Life Giveaway! You could win a 1:1 with me, tickets to my retreat, your own Love Life sweater and much more. I can't wait to see you there.

For any assistance please connect with my team at support@matthewhussey.com",[],PT30M7S,hd,false,15918,289,70
12,nDUojvw9SNY,2024-05-02T16:00:40Z,The Importance of Choosing Yourself,"My friend Lisa Bilyeu and I had a beautiful conversation about confidence, self-worth, and how to move on from unhealthy relationships! You can find the full episode on my YouTube channel and on the Love Life podcast. 

She also speaks at length about this in her book ""Radical Confidence"" (which came out in paperback yesterday!) Check it out at https://RadicalConfidence.com ❤️","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT52S,hd,false,43600,2868,32
13,FRZxv1yUghI,2024-05-01T19:44:17Z,Answering Your Questions LIVE,"Answering Your Questions LIVE

My “Find Your Person” event is happening this Saturday, May 4th at 10am PT / 1pm ET / 6pm UK. This exclusive virtual event is only open to those who have picked up their copy of Love Life, so if you haven’t gotten yours yet, don’t wait! 

Get your copy now at LoveLifeBook.com and on the same page you can register your purchase using your order number and redeem your free ticket to the event, as well as be entered into the Love Life Giveaway! You could win a 1:1 with me, tickets to my retreat, your own Love Life sweater and much more. I can’t wait to see you there.

For any assistance please connect with my team at support@matthewhussey.com",[],PT50M18S,hd,false,14375,161,21
14,x3kP0-AXhio,2024-05-01T18:06:04Z,How to Attract and Keep the Relationship You Really Want,"►► Transform Your Relationship with Yourself, Others and Life Itself.
Join Me For 6 Days of Coaching Immersion. 
To Learn How go to. . .
→ http://www.MHRetreat.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.


►► Pre-Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Connect With Lisa ▼

Read Radical Confidence Now → https://radicalconfidence.com/

Facebook → https://www.facebook.com/lisabilyeu/

Instagram → https://www.instagram.com/lisabilyeu/

Youtube → https://www.youtube.com/@LisaBilyeu/

TikTok → https://www.tiktok.com/@lisa_bilyeu/","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT49M56S,hd,false,39112,1313,82
15,heCYov5NnqI,2024-05-01T13:00:39Z,Break Free From Painful Negative Patterns,"Ever found yourself repeating the same negative patterns that cause you chronic pain and stress? If you have, you’ll know they can sometimes be so deeply ingrained that breaking free from them feels impossible. 

But don’t underestimate your ability to liberate yourself from these chronic patterns . . . you have more control than you realize.

The first step to reclaiming your peace is to consciously identify the root cause of that pain. Ask yourself: “What is the one big domino I could shift that would make the most difference to my well-being?”

#Shorts #MatthewHussey #LifeAdvice #ChronicPain","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT59S,hd,false,25327,1672,24
16,KANehpUjFak,2024-04-29T20:30:17Z,Stopping By To Go LIVE,"My ""Find Your Person"" event is happening this Saturday, May 4th at 10am PT / 1pm ET / 6pm UK. This exclusive virtual event is only open to those who have picked up their copy of Love Life, so if you haven't gotten yours yet, don't wait! 

Get your copy now at https://LoveLifeBook.com and on the same page you can register your purchase using your order number and redeem your free ticket to the event, as well as be entered into the Love Life Giveaway! You could win a 1:1 with me, tickets to my retreat, your own Love Life sweater and much more. I can't wait to see you there.

For any assistance please connect with my team at support@matthewhussey.com",[],PT1H2M58S,hd,false,13347,140,28
17,EdlO3y2e1q0,2024-04-29T16:00:19Z,Worried You'll Never Find The Right Person?,"“What if I never find the right person?”

I’ve been asked this question several times a week for the last 10+ years. You may feel SO ready to share your life with someone . . . only to have had dates that fizzled out or incompatible relationships . . . or perhaps you’ve remained single with no such person on the horizon. It can even begin to feel like that’s the way it will always be.
 
If you’re working through feelings of longing, loneliness, or sadness—or just want to feel more excited about dating—in the full video, I share 3 tools that will help you effectively manage those difficult emotions, and give you real hope for the future (check out the related video to see more)

#Shorts #MatthewHussey #Relationshipadvice #DatingAdvice","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT55S,hd,false,53250,4586,118
18,aS--Q2UpdPw,2024-04-28T00:12:57Z,Answering Your Questions LIVE,"Today is the LAST day to get the full bonus package when you order your copy of Love Life at https://LoveLifeBook.com . Only until midnight PT tonight you'll get a free copy of the Happiness after Heartbreak series and the Love Myths Film to accompany your Love Life book experience. You'll also be entered into the Love Life Giveaway where you could win a 1:1 with me, tickets to my retreat, your very own Love Life sweater and so much more! 

Don't miss your chance to get these incredible bonuses by picking up your copy of my new book at https://LoveLifeBook.com",[],PT1H53M29S,hd,false,20627,143,14
19,uEoyMh9GrZo,2024-04-27T17:11:58Z,We Have to Stop Shaming Women for Their Fear,"This clip is a moment from The Man Enough Podcast that I did. If you have felt this way before, I hope that this video makes you feel seen. 

If you need support in dealing with these challenging emotions, I encourage you to pick up a copy of my new book, Love Life, where I cover this very topic. You can grab yours today in stores at your favourite retailer or order online at https://LoveLifeBook.com 

Watch the full episode on The Man Enough Podcast at . . .  
https://www.youtube.com/watch?v=IqHfDlPP2Ew
https://manenough.com/podcast

#Shorts #MatthewHussey #RelationshipAdvice","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT57S,hd,false,43244,3264,224
20,oB9yB5-4bXg,2024-04-26T12:45:03Z,5 Things to Know Before You “Netflix and Chill” With Someone,"►► Want to Make 2024 the Year to Make Finding Love Inevitable?
Order Love Life Now to Get a Free Ticket to My Virtual Event Called Find Your Person on May 4 at . . .
→ http://www.LoveLifeBook.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.

▼
You’ve been on a date or two with someone and things are going pretty well. Then suddenly they ask you, “Wanna come over to my place and watch a movie tonight?”

Is it too soon? What if you like this person but you feel it’s moving a little too fast? In today’s video, I share 5 things you need to know before you “Netflix and chill” if you want more than just a casual hookup.


►► Pre-Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Chapters ▼

0:00 – 1:48 – It’s Out!
1:48 – 2:43 – “Netflix & Chill” on a Second Date?
2:43 – 3:14 – Aligning With the Results You Want
3:14 – 3:52 – #1 You Set the Pace
3:52 – 6:19 – #2 Decide Your Boundaries Ahead of Time
6:19 – 7:05 – #3 When Familiarity Tricks You
7:05 – 7:39 – #4 Don’t Change Your Behavior Just Because of This
7:39 – 8:55 – #5 Setting a Precedent When It Comes to Effort
8:55 – 9:47 – A Word on Safety
9:47 – 10:38 – A Whirlwind of a Week + A Heartfelt Thank You
10:38 – 11:18 – Find Your Person","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT11M19S,hd,false,30016,1575,160
21,MlIwAZHGoVM,2024-04-24T19:22:31Z,How to Choose the Right Person in Love,"►► Want to Make 2024 the Year You Find Love?
Join my FREE Virtual Event Find Your Person LIVE on May 4th at. . . 
→ http://www.LoveLifeBook.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.

►► Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com

▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Connect with Stephen ▼

Youtube → https://bit.ly/StephenHusseyYoutube

Instagram → http://bit.ly/StephenHusseyIG","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT57M46S,hd,false,29774,894,90
22,XAfcRDSk3ac,2024-04-23T12:00:35Z,My VERY Best Relationship Advice to Find Love in 2024,"►► Get Your FREE Ticket to Find Your Person LIVE on May 4
PLUS a Chance to Win a 1:1 with Matthew & SO Much More!
Order Your Copy of Love Life to Enter the Love Life Giveaway at. . . 
→ http://www.LoveLifeBook.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.

►► Pre-Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT21M12S,hd,false,18236,679,131
23,1wWUo3K2IQ4,2024-04-21T21:01:38Z,Talking About Your Red Flags LIVE,"Hey everyone! Today we're discussing YOUR biggest red flags from the comments of my recent Instagram post. 

If you still haven't grabbed your copy of my new book, Love Life, head over to https://LoveLifeBook.com now to pre-order your copy (releasing April 23rd!) Once you do, you'll be entered into the Love Life Giveaway where you can win a 1:1 with me, tickets to my in-person retreat in Florida, your own Love Life sweater and much more.",[],PT52M37S,hd,false,21301,482,123
